'File','pourcent'
'anjay_config_log.h','100.0'
'anjay_init.h',''

'anjay_access_utils.h','100.0'
'anjay_bootstrap.h',''
'anjay_dm_utils.h','93.9'
'anjay_io_utils.h',''
'anjay_notify.h',''
'anjay_raw_buffer.h',''
'anjay_sched.h','100.0'
'anjay_servers.h',''
'anjay_time_defs.h',''
'anjay_utils_core.h','100.0'

'anjay_attributes.h','100'
'anjay_execute.h',''
'anjay_modules.h',''

'anjay_access_utils.c','89.8'
'anjay_access_utils_private.h','88.3'
'anjay_bootstrap_core.c',''
'anjay_bootstrap_core.h',''
'anjay_core.c','87.0'
'anjay_core.h','100.0'
'anjay_dm_core.c','84.4'
'anjay_dm_core.h','100.0'
'anjay_downloader.h',''
'anjay_io_core.c',''
'anjay_io_core.h',''
'anjay_io_utils.c',''
'anjay_notify.c',''
'anjay_raw_buffer.c',''
'anjay_servers_inactive.h',''
'anjay_servers_private.h',''
'anjay_servers_utils.c',''
'anjay_servers_utils.h',''
'anjay_stats.c',''
'anjay_stats.h',''
'anjay_utils_core.c',''
'anjay_utils_private.h',''

'anjay_content_format.h',''
'anjay_msg_details.h',''

'anjay_discover.c',''
'anjay_discover.h',''
'anjay_dm_attributes.c',''
'anjay_dm_attributes.h',''
'anjay_dm_create.c',''
'anjay_dm_create.h',''
'anjay_dm_execute.c',''
'anjay_dm_execute.h',''
'anjay_dm_handlers.c',''
'anjay_dm_read.c',''
'anjay_dm_read.h',''
'anjay_dm_write_attrs.c',''
'anjay_dm_write_attrs.h',''
'anjay_dm_write.c',''
'anjay_dm_write.h',''
'anjay_modules.c',''
'anjay_query.c',''
'anjay_query.h',''

'anjay_coap.c',''
'anjay_downloader.c',''
'anjay_http.c',''
'anjay_private.h',''

'anjay_base64_out.c',''
'anjay_base64_out.h',''
'anjay_batch_builder.c',''
'anjay_batch_builder.h',''
'anjay_common.c',''
'anjay_common.h',''
'anjay_dynamic.c',''
'anjay_json_encoder.c',''
'anjay_opaque.c',''
'anjay_output_buf.c',''
'anjay_senml_like_encoder.c',''
'anjay_senml_like_encoder.h',''
'anjay_senml_like_encoder_vtable.h',''
'anjay_senml_like_out.c',''
'anjay_text.c',''
'anjay_tlv.h',''
'anjay_tlv_in.c',''
'anjay_tlv_out.c',''
'anjay_vtable.h',''

'anjay_observe_core.c',''
'anjay_observe_core.h',''
'anjay_observe_internal.h',''

'anjay_activate.c',''
'anjay_activate.h',''
'anjay_connection_ip.c',''
'anjay_connections.c',''
'anjay_connections.h',''
'anjay_connections_internal.h',''
'anjay_register.c',''
'anjay_register.h',''
'anjay_reload.c',''
'anjay_reload.h',''
'anjay_security_generic.c',''
'anjay_security.h',''
'anjay_server_connections.c',''
'anjay_server_connections.h',''
'anjay_servers_internal.c',''
'anjay_servers_internal.h',''


'anjay_access_control_handlers.c',''
'anjay_access_control_persistence.c',''
'anjay_mod_access_control.c',''
'anjay_mod_access_control.h',''

'anjay_attr_storage_persistence.c',''
'anjay_mod_attr_storage.c',''
'anjay_mod_attr_storage.h',''

'anjay_fw_update.c',''

'anjay_mod_security.c',''
'anjay_mod_security.h',''
'anjay_security_persistence.c',''
'anjay_security_transaction.c',''
'anjay_security_transaction.h',''
'anjay_security_utils.c',''
'anjay_security_utils.h',''

'anjay_mod_server.c',''
'anjay_mod_server.h',''
'anjay_server_persistence.c',''
'anjay_server_transaction.c',''
'anjay_server_transaction.h',''
'anjay_server_utils.c',''
'anjay_server_utils.h',''
